participant_id,condition,scene_code,transition,probability
P03,HUD,S,R->C,0
P03,HUD,S,R->L,0
P03,HUD,S,R->R,0.066666666666666666
P03,RAW,S,C->C,0.99907321594068577
P03,RAW,S,C->L,0.00046339202965708844
P03,RAW,S,C->R,0.00046339202965708844
P03,RAW,S,L->C,0.0085470085470085461
P03,RAW,S,L->L,0.029914529914529916
P03,RAW,S,L->R,0
P03,RAW,S,R->C,0.11538461538461539
P03,RAW,S,R->L,0
P03,RAW,S,R->R,0
P03,HUD,TL,C->C,0.95238095238095233
P03,HUD,TL,C->L,0.047619047619047616
P03,HUD,TL,C->R,0
P03,HUD,TL,L->C,0.15396825396825395
P03,HUD,TL,L->L,0.84603174603174602
P03,HUD,TL,L->R,0
P03,HUD,TL,R->C,0
P03,HUD,TL,R->L,0
P03,HUD,TL,R->R,0
P03,RAW,TL,C->C,0.88775510204081631
P03,RAW,TL,C->L,0.11224489795918365
P03,RAW,TL,C->R,0
P03,RAW,TL,L->C,0.14948107448107445
P03,RAW,TL,L->L,0.85051892551892549
P03,RAW,TL,L->R,0
P03,RAW,TL,R->C,0
P03,RAW,TL,R->L,0
P03,RAW,TL,R->R,0
P03,HUD,TR,C->C,0.96666666666666667
P03,HUD,TR,C->L,0
P03,HUD,TR,C->R,0.033333333333333333
P03,HUD,TR,L->C,0
P03,HUD,TR,L->L,0
P03,HUD,TR,L->R,0
P03,HUD,TR,R->C,0.19074074074074074
P03,HUD,TR,R->L,0
P03,HUD,TR,R->R,0.80925925925925923
P03,RAW,TR,C->C,0.5
P03,RAW,TR,C->L,0.083333333333333329
P03,RAW,TR,C->R,0.25
P03,RAW,TR,L->C,0.16666666666666666
P03,RAW,TR,L->L,0
P03,RAW,TR,L->R,0
P03,RAW,TR,R->C,0.1275132275132275
P03,RAW,TR,R->L,0
P03,RAW,TR,R->R,0.87248677248677253
P04,HUD,LL,C->C,0.93333333333333335
P04,HUD,LL,C->L,0.04166666666666665
P04,HUD,LL,C->R,0.025000000000000001
P04,HUD,LL,L->C,0.125
P04,HUD,LL,L->L,0.125
P04,HUD,LL,L->R,0
P04,HUD,LL,R->C,0.25
P04,HUD,LL,R->L,0
P04,HUD,LL,R->R,0
P04,RAW,LL,C->C,1
P04,RAW,LL,C->L,0
P04,RAW,LL,C->R,0
P04,RAW,LL,L->C,0
P04,RAW,LL,L->L,0
P04,RAW,LL,L->R,0
P04,RAW,LL,R->C,0
P04,RAW,LL,R->L,0
P04,RAW,LL,R->R,0
P04,HUD,LR,C->C,0.99242424242424254
P04,HUD,LR,C->L,0
P04,HUD,LR,C->R,0.0075757575757575664
P04,HUD,LR,L->C,0
P04,HUD,LR,L->L,0
P04,HUD,LR,L->R,0
P04,HUD,LR,R->C,0.16666666666666666
P04,HUD,LR,R->L,0
P04,HUD,LR,R->R,0
P04,RAW,LR,C->C,0.95686274509803926
P04,RAW,LR,C->L,0
P04,RAW,LR,C->R,0.043137254901960791
P04,RAW,LR,L->C,0
P04,RAW,LR,L->L,0
P04,RAW,LR,L->R,0
